,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
51,8,30.0,0.04382107500000032,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,250,250
52,16,32.0,0.07741868000000096,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,250,250
53,32,28.0,0.15362899799999852,[13  1  7  2 16 10 12  7 12 12  1  3 11 15 11  5  3  0],SA,250,250
54,64,38.0,0.2886886450000006,[13 15  1 17  7  6  6  7 13  7 15  3 11 16  8  3  3  1],SA,250,250
55,128,32.0,0.5717291479999993,[17 10 14 12  3  7 13 17  6 16 12  8 13  6  1  6  2 10],SA,250,250
56,256,50.0,1.1146456759999985,[12  4 12  5 16  4  4  9  0 12  8  4 12 14  4  7  6  2],SA,250,250
57,512,16.0,2.139977837,[ 4 16 13 12  2 11  8 14  1 10 16  0  0 12  9 17  3  3],SA,250,250
58,1024,4.0,3.574478981000002,[15 13 11  7  0  3 17 14  1  4 10  8  6 12 16  2  8  5],SA,250,250
59,2048,2.0,6.17475258,[ 0 13 11  7  5  3 17 14  4 15  1  8  6 12 16  2  0 10],SA,250,250
60,1,26.0,0.0046450039999967885,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3  6],SA,500,500
61,2,30.0,0.010743779999998537,[15 17 15  6 16 13 10  7 12  7  1 14 17  9 10  2  3 15],SA,500,500
62,4,30.0,0.021871160999999972,[15 17 15  6 16  6 10  7 12  7  1 14 17  9 10  2  3  0],SA,500,500
63,8,30.0,0.045787470000000496,[15 17 15  6 16  6 10  7 12  7  9 16 13  9 11  2  3  0],SA,500,500
64,16,32.0,0.09167434399999763,[12 15  8 10 16  6 10  7 12  7  9 16 11 15 11  5  3  0],SA,500,500
65,32,28.0,0.15904993200000206,[13  1  7  2 16 10 12  7 12 12  1  3 11 15 11  5  3  0],SA,500,500
66,64,38.0,0.28519415599999576,[13 15  1 17  7  6  6  7 13  7 15  3 11 16  8  3  3  1],SA,500,500
67,128,32.0,0.5471920009999991,[17 10 14 12  3  7 13 17  6 16 12  8 13  6  1  6  2 10],SA,500,500
68,256,38.0,1.1098851550000006,[11  5 12  9 17  4 17  2  7  6 10  4  3 14  4 14  8 17],SA,500,500
69,512,24.0,2.1921397240000005,[ 4 17  6 12  6 17  8  5 16  2 11  9  4 12 14 17 13  3],SA,500,500
