,Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate
26,4,1396.0,2.4275239200001124,"[18 18  1 18 18 19  1 15 17 10  3 18  9 19 11  6 18  5 12  7 15 10  3 17
 13 12  3 16 14  5 19 13 12 19  9]",400,0.6,400,0.6
27,8,1440.0,4.532320029999937,"[15  9 14 18 16 15  0  0 17 10 10 17 15 14  6 15 18 17 17  2 15 14 13 17
 13 17 13  1  1 16 18 17 17 18  6]",400,0.6,400,0.6
28,16,1522.0,10.114367695000055,"[17 16 17 18 18 17  2 15 14  7  6 18 17  9 17 18 18 13  3  2  8  0 19 18
 11 12  6 14  4 13 18 15 17 16 16]",400,0.6,400,0.6
29,32,1623.0,21.540921463999894,"[19 17 18 19 19  8  0 15 16  4 18 19 14  0  3 19 17 11  1  4 15 10 13 18
 17  7 18 14 12 19 15 15 19 16 18]",400,0.6,400,0.6
30,64,1681.0,45.78515997300019,"[18 16 19 19 19 19  0 15 19  5 19 19 15  0  2 19 19  2  3  1 13  0  9 18
 17  5 18 14  7 19 19 19 19 19 18]",400,0.6,400,0.6
31,128,1722.0,93.80656413499992,"[18 19 19 19 19 19  0 18 19  1 18 19 17  0  0 19 19  2  1  1 19  0 19 19
 19  0 18 11 11 19 19 19 19 19 19]",400,0.6,400,0.6
32,256,1732.0,170.06421741700024,"[19 19 19 19 19 19  0 19 19  0 19 19 19  0  0 19 19  2  1  0 19  0 19 19
 19  0 19 10 11 19 19 19 19 19 19]",400,0.6,400,0.6
33,512,1732.0,326.9133015780003,"[19 19 19 19 19 19  0 19 19  0 19 19 19  0  0 19 19  2  1  0 19  0 19 19
 19  0 19 10 11 19 19 19 19 19 19]",400,0.6,400,0.6
34,1024,1734.0,669.8823125029999,"[19 19 19 19 19 19  0 19 19  0 19 19 18  0  0 19 19  0  0  0 19  0 19 19
 19  0 19 11 13 19 19 19 19 19 19]",400,0.6,400,0.6
35,2048,1735.0,1322.10995941,"[19 19 19 19 19 19  0 19 19  0 19 19 18  0  0 19 19  0  0  0 19  0 19 19
 19  0 19 15  8 19 19 19 19 19 19]",400,0.6,400,0.6
36,0,1009.0,0.2767718190002597,"[18 11  0 11 16  1  0  9 11 19 13  2 10  2 10 13 10  8 13 10  7  7  8 13
  9  2 17  7 17 19  9  0  7  5 15]",400,0.8,400,0.8
