,Iterations,Fitness,Time,State,runner_name,keep_pct,Keep Percent
34,1024,681.0364938360507,4037.916254265998,[ 5  0 12 16  4  7  3 17 21  9 14 11 15 19  8 18 13  2 20  1  6 10],MIMIC,0.5,0.5
35,2048,681.0364938360507,8075.292640218999,[ 5  0 12 16  4  7  3 17 21  9 14 11 15 19  8 18 13  2 20  1  6 10],MIMIC,0.5,0.5
36,1,804.9649647573158,4.599795055000868,[20  6 14 18  0 17 15  9 21 19  3  5 11 16 12  8  4  7  2 10  1 13],MIMIC,0.75,0.75
37,2,804.9649647573158,8.600525551999453,[20  6 14 18  0 17 15  9 21 19  3  5 11 16 12  8  4  7  2 10  1 13],MIMIC,0.75,0.75
38,4,804.9649647573158,16.728881111997907,[20  6 14 18  0 17 15  9 21 19  3  5 11 16 12  8  4  7  2 10  1 13],MIMIC,0.75,0.75
39,8,721.9028644908175,32.74650153900075,[10 18  1 16  4  9 21  8  6 15 17  7  3 19 14  5 11  0  2 12 13 20],MIMIC,0.75,0.75
40,16,721.9028644908175,64.45959870899969,[10 18  1 16  4  9 21  8  6 15 17  7  3 19 14  5 11  0  2 12 13 20],MIMIC,0.75,0.75
41,32,699.0074299822459,127.6957091209988,[21  9  7  0 16 12  1 20 18  2  3  8 14 11 13  6 15  4  5 10 19 17],MIMIC,0.75,0.75
42,64,699.0074299822459,253.22193067199987,[21  9  7  0 16 12  1 20 18  2  3  8 14 11 13  6 15  4  5 10 19 17],MIMIC,0.75,0.75
43,128,699.0074299822459,503.2404579139984,[21  9  7  0 16 12  1 20 18  2  3  8 14 11 13  6 15  4  5 10 19 17],MIMIC,0.75,0.75
44,256,699.0074299822459,1004.6063692919997,[21  9  7  0 16 12  1 20 18  2  3  8 14 11 13  6 15  4  5 10 19 17],MIMIC,0.75,0.75
45,512,699.0074299822459,2039.5100994399982,[21  9  7  0 16 12  1 20 18  2  3  8 14 11 13  6 15  4  5 10 19 17],MIMIC,0.75,0.75
46,1024,699.0074299822459,4038.12428439,[21  9  7  0 16 12  1 20 18  2  3  8 14 11 13  6 15  4  5 10 19 17],MIMIC,0.75,0.75
47,2048,699.0074299822459,8067.536424066002,[21  9  7  0 16 12  1 20 18  2  3  8 14 11 13  6 15  4  5 10 19 17],MIMIC,0.75,0.75
