,Iterations,Fitness,Time,State,runner_name,schedule,Temperature
29,32,23.0,0.02181675300001018,"[1 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 0
 1 0 0]",SA,50,50
30,64,19.0,0.03825297200000932,"[0 0 0 1 1 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 1 1 1 0 1 0 1
 0 0 1]",SA,50,50
31,128,18.0,0.06286648300000763,"[1 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 0 1 1 0
 1 0 1]",SA,50,50
32,256,20.0,0.10775134000000719,"[0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0
 1 0 0]",SA,50,50
33,512,32.0,0.20033079899999962,"[1 0 1 1 0 1 0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1
 1 0 1]",SA,50,50
34,1024,36.0,0.37515410000000315,"[0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1
 0 1 0]",SA,50,50
35,2048,38.0,0.751116120000006,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",SA,50,50
36,1,17.0,0.0006211590000049227,"[1 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1
 1 1 0]",SA,100,100
37,2,19.0,0.0029379440000099066,"[1 0 0 1 0 1 1 1 1 1 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1
 1 1 0]",SA,100,100
38,4,21.0,0.005906687000006627,"[1 0 0 1 0 1 1 1 1 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 0 0 1 0 1
 1 1 0]",SA,100,100
39,8,21.0,0.009150415999997108,"[1 1 0 1 0 1 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 1 0 1
 1 1 0]",SA,100,100
40,16,21.0,0.014024774000006346,"[1 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 1 1 1 1 0 1 0 0 1 0 1
 1 1 0]",SA,100,100
