,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
0,2,40.0,0.017213371999999616,[10 17 14 13  3 14  1 10  4  1 13  8 14  0 16 12 14  4],RHC,0,75
1,4,38.0,0.055180500999999715,[10 17 14 13  3 14  1 10  4  1 13  8 14  0 16 12 14 17],RHC,0,75
2,8,34.0,0.07965615999999986,[ 3 17 14 13  3 14  1 10  4  1 13  8 14  0 16 12 10 17],RHC,0,75
3,16,32.0,0.10064828999999964,[ 3 17 14 13  3 14  1 10  4  1 13  8 14  0 16 12  4 17],RHC,0,75
4,32,18.0,0.13570517899999945,[ 3 17 14 13  5 10  1 10  4  1  2  8  9  0 16 15  4  7],RHC,0,75
5,64,14.0,0.19519406999999944,[ 3 17 14 13  5 10  1 10 17 13  2  8  9  0 16 15  4  7],RHC,0,75
6,128,10.0,0.3626842949999993,[11 17 14  1  5 10  1 10 17 13  2  8  9  0 16 15  4  7],RHC,0,75
7,256,8.0,0.5764445899999995,[11 17 14  1  5 10  1  3 17 13  2  8  9  0 16 15  4  7],RHC,0,75
8,512,8.0,1.154793884,[11 17 14  1  5 10  1  3 17 13  2  8  9  0 16 15  4  7],RHC,0,75
9,1024,8.0,1.4767913979999996,[11 17 14  1  5 10  1  3 17 13  2  8  9  0 16 15  4  7],RHC,0,75
10,2048,8.0,1.4767913979999996,[11 17 14  1  5 10  1  3 17 13  2  8  9  0 16 15  4  7],RHC,0,75
11,2,46.0,1.4957376899999995,[17 17 17 10  2 17 17  1 10 13  4 15  8  9  6 14 12  2],RHC,1,75
12,4,38.0,1.501520609,[ 5 17 17 10  2 17 17  1 10 13  4 15  8  9  6 14 12  2],RHC,1,75
13,8,28.0,1.5117557149999996,[ 5 17  0 10  2 17 17  1 16 13  4 15  8  9  6 14 12  2],RHC,1,75
14,16,22.0,1.5291183469999998,[ 5 14  0 10  2 17 17  1 16 13  4 15  8  9  6 14 11  2],RHC,1,75
15,32,18.0,1.5628449029999993,[ 5 14  0 10  2 17 17  1 16  3  4 15  9  9  6 14 11  2],RHC,1,75
16,64,16.0,1.62881271,[ 5 14  0 10  2 17 12  1 16  3  4 15  9  9  6 14 11  2],RHC,1,75
17,128,10.0,1.7604120939999994,[ 5 14  0 10  7 17 12  1 16  3  4 15  9 13  6 14 11  2],RHC,1,75
18,256,6.0,1.9940731949999995,[ 5 15  0 10  7 17 12  8 16  3  4 15  9 13  6 14 11  2],RHC,1,75
19,512,6.0,2.469735172,[ 5 15  0 10  7 17 12  8 16  3  4 15  9 13  6 14 11  2],RHC,1,75
20,1024,2.0,3.451047957,[ 5 15  0 10  7 17 12  8 16  0  4  1  9 13  6 14 11  2],RHC,1,75
21,2048,2.0,3.940260543999999,[ 5 15  0 10  7 17 12  8 16  0  4  1  9 13  6 14 11  2],RHC,1,75
22,2,48.0,3.9740142269999996,[ 0  3  7 16  0 15 11 15  3  0  3  9  0  9 16 16 15  6],RHC,2,75
23,4,42.0,3.984358370999999,[ 0  3  7 16  0 15 11 15  3  0  3  9  0  9 10 16  8  6],RHC,2,75
24,8,34.0,4.002825229999999,[ 0  1  7 16  0  2 11 15  3  0  3  9  0  9 10 16  8  6],RHC,2,75
25,16,28.0,4.02172537,[ 0  1  8 16  0  2 11 15  3  0  3  9 15  9 10 16  8  6],RHC,2,75
26,32,18.0,4.056644101,[ 6  1  8 16  0  2 11 15  3  0  3  9 15  8 10 17 17  6],RHC,2,75
27,64,12.0,4.126096956,[ 6  1 16 12  4  2 11 15  3  0  3  9 15  8 10 17 17  6],RHC,2,75
28,128,10.0,4.248152266,[ 6 13 16 12  4  2 11 15  3  0  3  9 15  8 10 17 17  6],RHC,2,75
29,256,8.0,4.479894217,[ 6 13 16 12  4  2 11 15  3  0  3  9 15  8 10 14 17  6],RHC,2,75
30,512,6.0,4.979432658,[ 6 13 16 12  4  2 11 15  2  0  3  9 15  8 10 14 17  6],RHC,2,75
31,1024,4.0,5.952393000999999,[ 6 13 16 12  4  7 11 15  2  0  3  9 15  8 10 14 17  6],RHC,2,75
32,2048,4.0,6.176943631,[ 6 13 16 12  4  7 11 15  2  0  3  9 15  8 10 14 17  6],RHC,2,75
33,2,18.0,6.218787816999999,[11  9 14 11  2 12  6  4 10  0 16  4 15  1  3  9 13  8],RHC,3,75
34,4,18.0,6.223825933999999,[11  9 14 11  2 12  6  4 10  0 16  4 15  1  3  9 13  8],RHC,3,75
35,8,14.0,6.233819152999999,[11  9 14 16  2 12  6  4 10  0 16  4 15  1  3  9 13  8],RHC,3,75
36,16,14.0,6.24984967,[11  9 14 16  2 12  6  4 10  0 16  4 15  1  3  9 13  8],RHC,3,75
37,32,12.0,6.2839436420000006,[11  9 14 16  2 12  6  4 10  0 16  4 15  1  3  7 13  8],RHC,3,75
38,64,8.0,6.345339057,[11  9 14  2  2 12  6 12 10  0 16  4 15  1  3  7 13  8],RHC,3,75
39,128,6.0,6.461372515999999,[11  9 14  2 17 12  6 12 10  0 16  4 15  1  3  7 13  8],RHC,3,75
40,256,4.0,6.688110180999999,[11  9 14  2 17  1  6 12 10  0 16  4 15  1  3  7 13  8],RHC,3,75
41,512,4.0,7.163210353,[11  9 14  2 17  1  6 12 10  0 16  4 15  1  3  7 13  8],RHC,3,75
42,1024,4.0,7.405585687,[11  9 14  2 17  1  6 12 10  0 16  4 15  1  3  7 13  8],RHC,3,75
43,2048,4.0,7.405585687,[11  9 14  2 17  1  6 12 10  0 16  4 15  1  3  7 13  8],RHC,3,75
44,2,28.0,7.424866609,[10 12  3 13  6  7  8  1 16  5 16  9  7 10  6  6 11  0],RHC,4,75
45,4,26.0,7.4310465709999995,[10 12  3 13  6  8  8  1 16  5 16  9  7 10  6  6 11  0],RHC,4,75
46,8,24.0,7.440451519,[10 12  3 13  6  8  8  1 16  5 16  9  7 10  6  2 11  0],RHC,4,75
47,16,22.0,7.456560554999999,[10 12  3 13  5  8  8  1 16  5 16  9  7 10  6  2 11  0],RHC,4,75
48,32,22.0,7.486543294999999,[10 12  3 13  5  8  8  1 16  5 16  9  7 10  6  2 11  0],RHC,4,75
49,64,16.0,7.549308791,[10 12  3  9  5  8  8  1 16  5 15  4  7 10  6  2 11  0],RHC,4,75
50,128,12.0,7.661800224,[10 12  3  9  5  8  8  1 16  5 15  4  7 13  6 14 11  0],RHC,4,75
51,256,4.0,7.925411566999999,[10 12  3  9  5 17  8  1 16  7 15  4  7 13  6 14  2  0],RHC,4,75
52,512,4.0,8.399105473,[10 12  3  9  5 17  8  1 16  7 15  4  7 13  6 14  2  0],RHC,4,75
53,1024,4.0,8.892161568999999,[10 12  3  9  5 17  8  1 16  7 15  4  7 13  6 14  2  0],RHC,4,75
54,2048,4.0,8.892161568999999,[10 12  3  9  5 17  8  1 16  7 15  4  7 13  6 14  2  0],RHC,4,75
55,2,50.0,8.913836129,[ 3  3 16 12  1 16 13 10  3  9  5 10  9  2 13 13 11 14],RHC,5,75
56,4,48.0,8.919965184999999,[ 3  3 16 12  1 16 13 10  3  9  5 10  9  2  7 13 11 14],RHC,5,75
57,8,38.0,8.933366029,[ 3  3  7 12  1 16 13 10  3  9  5 10  9  2 15 13 11 15],RHC,5,75
58,16,24.0,8.95715253,[ 3  3  7 12  1 16 13 10  3  9  0 10 12  2 15  1 11 15],RHC,5,75
59,32,16.0,8.99157395,[ 3  3  7 12  4 16 13 10  5  9  0 10 14  2 15  1 11 15],RHC,5,75
60,64,14.0,9.052481378,[ 3  6  7 12  4 16 13 10  5  9  0 10 14  2 15  1 11 15],RHC,5,75
61,128,10.0,9.169867624,[ 3  6  7 17  4 16 13 10  5  9  0 10 14  2  8  1 11 15],RHC,5,75
62,256,6.0,9.432017781999999,[12  6  7 17  4 16 13 10  5  9  0 17 14  2  8  1 11 15],RHC,5,75
63,512,4.0,9.966501141,[12  6  7 17  4 16 13 10  5  9  0  3 14  2  8  1 11 15],RHC,5,75
64,1024,4.0,10.715129510999999,[12  6  7 17  4 16 13 10  5  9  0  3 14  2  8  1 11 15],RHC,5,75
65,2048,4.0,10.715129510999999,[12  6  7 17  4 16 13 10  5  9  0  3 14  2  8  1 11 15],RHC,5,75
