,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
25,16,23.0,0.01097383499999971,"[1 1 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0
 0 0 0]",RHC,0,25
26,32,25.0,0.017509817999999733,"[1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0
 0 0 0]",RHC,0,25
27,64,33.0,0.028294160999999818,"[0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0
 1 0 1]",RHC,0,25
28,128,35.0,0.048834991999999744,"[0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0
 1 0 1]",RHC,0,25
29,256,37.0,0.0873310269999994,"[0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0
 1 0 1]",RHC,0,25
30,512,37.0,0.16452241,"[0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0
 1 0 1]",RHC,0,25
31,1024,37.0,0.327745889,"[0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0
 1 0 1]",RHC,0,25
32,2048,37.0,0.3757972330000001,"[0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0
 1 0 1]",RHC,0,25
33,2,23.0,0.001024731000000223,"[0 0 1 1 0 1 1 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
34,4,23.0,0.0036367999999997735,"[0 0 1 1 0 1 1 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
35,8,25.0,0.006867197000000047,"[0 0 1 1 0 1 1 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
36,16,30.0,0.011140400999999578,"[1 0 1 1 0 1 1 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
37,32,32.0,0.018159296000000325,"[1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
38,64,34.0,0.029278595000000074,"[1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
39,128,34.0,0.04953559700000021,"[1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
40,256,34.0,0.09256420300000023,"[1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
41,512,34.0,0.17626422300000044,"[1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
42,1024,34.0,0.3342670209999996,"[1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
43,2048,34.0,0.34437184899999984,"[1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",RHC,0,75
