,Iterations,Fitness,Time,State,runner_name,current_restart,Restarts
57,8,20.0,10.894113499,[11  9  0  1  8  7  7  6  1  8  5 11  9  5],RHC,4,5
58,16,18.0,10.905068448999998,[11  9  0  1 13  7  7  6  1  8  5 11  9  5],RHC,4,5
59,32,16.0,10.925413874,[11  9  0  3 13  7  7  6  1  8  5 11  9  5],RHC,4,5
60,64,16.0,10.965301823999997,[11  9  0  3 13  7  7  6  1  8  5 11  9  5],RHC,4,5
61,128,6.0,11.047714460999998,[ 8  2  0  3 13  7  1  6  1 12  4 11  9  5],RHC,4,5
62,256,6.0,11.199319036999999,[ 8  2  0  3 13  7  1  6  1 12  4 11  9  5],RHC,4,5
63,512,4.0,11.506429553,[ 8  2  0  3 13  7 10  6  1 12  4 11  9  5],RHC,4,5
64,1024,4.0,12.117746306999997,[ 8  2  0  3 13  7 10  6  1 12  4 11  9  5],RHC,4,5
65,2048,4.0,13.356864666,[ 8  2  0  3 13  7 10  6  1 12  4 11  9  5],RHC,4,5
66,2,40.0,13.392008884,[ 2  0 12  6  7  5  5 10  5 12  5  8 11  0],RHC,5,5
67,4,36.0,13.396725632999999,[ 2  0 12  6  7  5  5 10  5 12  6  8 11  0],RHC,5,5
68,8,30.0,13.403917778,[ 2  0 12  6  2  5  5 10  5 12  6  8 11  0],RHC,5,5
69,16,20.0,13.418363703999997,[ 2  0 12  6  2  5  5 10  4 12 11  8  7  0],RHC,5,5
70,32,14.0,13.439610659,[ 2  0 12  6  2  5  5 10  4  3 11  8  7  0],RHC,5,5
71,64,14.0,13.482478308999998,[ 2  0 12  6  2  5  5 10  4  3 11  8  7  0],RHC,5,5
72,128,12.0,13.566266204999998,[ 2  0 12  6  2  5  5 13  4  3 11  8  7  0],RHC,5,5
73,256,8.0,13.735464308999997,[ 2  0 12  6  2  5 10 13  4  3 11  8  7  0],RHC,5,5
74,512,8.0,14.066440539999999,[ 2  0 12  6  2  5 10 13  4  3 11  8  7  0],RHC,5,5
75,1024,8.0,14.724728714999998,[ 2  0 12  6  2  5 10 13  4  3 11  8  7  0],RHC,5,5
76,2048,8.0,16.095374870999997,[ 2  0 12  6  2  5 10 13  4  3 11  8  7  0],RHC,5,5
77,2,28.0,0.00394086100000024,[13 10  7  8 13 13 13  5  7  5 11  1  6  0],RHC,0,20
78,4,24.0,0.008435314999999832,[13 10  7  8 13 13 13  9  7  5 11  1  6  0],RHC,0,20
79,8,22.0,0.01577236500000012,[ 7 10  7  8 13 13 13  9  7  5 11  1  6  0],RHC,0,20
80,16,16.0,0.030140357000000506,[ 7 10  1  8 13 13 13  9  0  5 11  1 12  0],RHC,0,20
81,32,8.0,0.05576231999999948,[ 7 10  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,20
82,64,8.0,0.09792281200000019,[ 7 10  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,20
83,128,8.0,0.18764277500000048,[ 7 10  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,20
84,256,6.0,0.34720657399999766,[ 7 12  0  8 13  4  3  9  0  5 11  1 12  2],RHC,0,20
85,512,4.0,0.6584527149999992,[ 7 12  0  8 13  4  3  9  0  5 11  1  6  2],RHC,0,20
86,1024,4.0,1.3133962739999987,[ 7 12  0  8 13  4  3  9  0  5 11  1  6  2],RHC,0,20
87,2048,4.0,2.651358122999998,[ 7 12  0  8 13  4  3  9  0  5 11  1  6  2],RHC,0,20
88,2,16.0,2.683759293999998,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,20
89,4,16.0,2.687143055,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,20
90,8,16.0,2.6927776609999974,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,20
91,16,16.0,2.7025365400000005,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,20
92,32,16.0,2.721347859999998,[ 3  3 13 11  8  4  6 10  2  2  7  7  1  1],RHC,1,20
93,64,12.0,2.762332823999998,[ 3  3 13 11  8  4  6 12  2  2  5  7  1  1],RHC,1,20
94,128,4.0,2.838014937999997,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,20
95,256,4.0,2.999301055,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,20
96,512,4.0,3.3158837420000005,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,20
97,1024,4.0,3.934022975999998,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,20
98,2048,4.0,5.181583024999998,[ 3  3  0 11  8  4  6 12  9  2  5  7  1 10],RHC,1,20
99,2,28.0,5.213899141999999,[ 0  9  4 13  1  1 11  7  4  5  1  2 12  7],RHC,2,20
100,4,22.0,5.218930616999998,[ 0  9 13 13  1  1 11  7  4  5  1  2 10  7],RHC,2,20
101,8,18.0,5.225565092,[ 0  9 13 13  1  1 11  7  4  5  3  2 10  7],RHC,2,20
102,16,14.0,5.237441237999999,[ 0  9 13 13  1  0 11  6  4  5  3  2 10  7],RHC,2,20
103,32,10.0,5.258967064,[ 0  9 13 13  1  6 11  6  4  5  8  2 10  7],RHC,2,20
104,64,10.0,5.299389944999998,[ 0  9 13 13  1  6 11  6  4  5  8  2 10  7],RHC,2,20
105,128,8.0,5.384824403,[ 0  9 13 13  1  6 11  0  4  5  8  2 10  7],RHC,2,20
106,256,8.0,5.548031195,[ 0  9 13 13  1  6 11  0  4  5  8  2 10  7],RHC,2,20
107,512,4.0,5.879729510999997,[ 0  9 13  5  1  6 11  0  4 12  8  2 10  7],RHC,2,20
108,1024,4.0,6.555634559999998,[ 0  9 13  5  1  6 11  0  4 12  8  2 10  7],RHC,2,20
109,2048,4.0,7.871554136,[ 0  9 13  5  1  6 11  0  4 12  8  2 10  7],RHC,2,20
110,2,30.0,7.905457967,[10 10  8  6 10  0  2  9 10  2  6 11  3 11],RHC,3,20
111,4,20.0,7.910952053999999,[12 13  8  6 10  0  2  9 10  2  6 11  3 11],RHC,3,20
112,8,20.0,7.917111658,[12 13  8  6 10  0  2  9 10  2  6 11  3 11],RHC,3,20
113,16,20.0,7.928087571999999,[12 13  8  6 10  0  2  9 10  2  6 11  3 11],RHC,3,20
114,32,16.0,7.953324663,[12  9  1  6 10  0  2  9 10  2  6 11  3 11],RHC,3,20
115,64,10.0,8.001436795,[12  9  1  4 10  0  2 13 10  2  6 11  3 11],RHC,3,20
116,128,6.0,8.096656045,[12  9  1  4 13  0  0 13 10  2  6 11  3 11],RHC,3,20
117,256,4.0,8.261509365999999,[12  9  1  4 13  0  0 13 10  2  6  8  3 11],RHC,3,20
118,512,2.0,8.599493535999997,[12  9  1  4 13  0  0  7 10  2  6  8  3 11],RHC,3,20
119,1024,2.0,9.282074181999999,[12  9  1  4 13  0  0  7 10  2  6  8  3 11],RHC,3,20
120,2048,2.0,10.671959171999998,[12  9  1  4 13  0  0  7 10  2  6  8  3 11],RHC,3,20
121,2,24.0,10.704514874999997,[11  9  0  1 11  7  7  6 10  8  5 11  9  5],RHC,4,20
122,4,24.0,10.708462592,[11  9  0  1 11  7  7  6 10  8  5 11  9  5],RHC,4,20
123,8,20.0,10.715933910999997,[11  9  0  1  8  7  7  6  1  8  5 11  9  5],RHC,4,20
124,16,18.0,10.726772088,[11  9  0  1 13  7  7  6  1  8  5 11  9  5],RHC,4,20
125,32,16.0,10.748859463999995,[11  9  0  3 13  7  7  6  1  8  5 11  9  5],RHC,4,20
126,64,16.0,10.788134494999998,[11  9  0  3 13  7  7  6  1  8  5 11  9  5],RHC,4,20
127,128,6.0,10.870979416999997,[ 8  2  0  3 13  7  1  6  1 12  4 11  9  5],RHC,4,20
128,256,6.0,11.025964016,[ 8  2  0  3 13  7  1  6  1 12  4 11  9  5],RHC,4,20
129,512,4.0,11.333747782,[ 8  2  0  3 13  7 10  6  1 12  4 11  9  5],RHC,4,20
130,1024,4.0,11.955280345999999,[ 8  2  0  3 13  7 10  6  1 12  4 11  9  5],RHC,4,20
131,2048,4.0,13.245061478,[ 8  2  0  3 13  7 10  6  1 12  4 11  9  5],RHC,4,20
132,2,40.0,13.279403642999998,[ 2  0 12  6  7  5  5 10  5 12  5  8 11  0],RHC,5,20
133,4,36.0,13.284483317,[ 2  0 12  6  7  5  5 10  5 12  6  8 11  0],RHC,5,20
134,8,30.0,13.292653484999999,[ 2  0 12  6  2  5  5 10  5 12  6  8 11  0],RHC,5,20
135,16,20.0,13.306660331,[ 2  0 12  6  2  5  5 10  4 12 11  8  7  0],RHC,5,20
136,32,14.0,13.328710632999996,[ 2  0 12  6  2  5  5 10  4  3 11  8  7  0],RHC,5,20
137,64,14.0,13.371271912999998,[ 2  0 12  6  2  5  5 10  4  3 11  8  7  0],RHC,5,20
138,128,12.0,13.451131911000001,[ 2  0 12  6  2  5  5 13  4  3 11  8  7  0],RHC,5,20
139,256,8.0,13.621953000999998,[ 2  0 12  6  2  5 10 13  4  3 11  8  7  0],RHC,5,20
140,512,8.0,13.944415300999996,[ 2  0 12  6  2  5 10 13  4  3 11  8  7  0],RHC,5,20
141,1024,8.0,14.598978896999999,[ 2  0 12  6  2  5 10 13  4  3 11  8  7  0],RHC,5,20
142,2048,8.0,15.909114149,[ 2  0 12  6  2  5 10 13  4  3 11  8  7  0],RHC,5,20
143,2,34.0,15.945129374999997,[ 5  7  3  4  4  5  6  3 12 12  9  3  4  8],RHC,6,20
144,4,28.0,15.950917362999999,[ 5  7  3  4  4  5 13  3 12 12  9 13  4  8],RHC,6,20
145,8,22.0,15.959297461000002,[ 5 10  3  4  4  5 13  3 12 12  9 13  2  8],RHC,6,20
146,16,20.0,15.972348164999996,[ 5 10  3  4  4  5 13  0 12 12  9 13  2  8],RHC,6,20
147,32,14.0,15.996706037,[ 5 10 10  4  4  5 13  0 12  6  9 13  2  8],RHC,6,20
148,64,8.0,16.042780302,[ 3 10 10  1  4  1 13  0 12  6  9 13  2  8],RHC,6,20
149,128,4.0,16.131393362999997,[ 3 10 10  1  4  1 11  0 12  6  9  5  2  8],RHC,6,20
150,256,4.0,16.299945634999997,[ 3 10 10  1  4  1 11  0 12  6  9  5  2  8],RHC,6,20
151,512,4.0,16.641312519999996,[ 3 10 10  1  4  1 11  0 12  6  9  5  2  8],RHC,6,20
152,1024,4.0,17.319609150999998,[ 3 10 10  1  4  1 11  0 12  6  9  5  2  8],RHC,6,20
153,2048,4.0,18.72053971,[ 3 10 10  1  4  1 11  0 12  6  9  5  2  8],RHC,6,20
154,2,42.0,18.754709015,[11  1 11 10  4 10  7 13 11  6 10  3 11 11],RHC,7,20
155,4,42.0,18.758420382,[11  1 11 10  4 10  7 13 11  6 10  3 11 11],RHC,7,20
156,8,26.0,18.768328577000002,[11  8  3 13  4 10  7 13 11  6  3  3 11 11],RHC,7,20
157,16,18.0,18.782999209999996,[ 7  8  0 13  4  1  7 13 11  6  3  3 11 11],RHC,7,20
158,32,14.0,18.808126153999996,[ 7  9  0 13  4  1  7 13 11  6  3  3 11  1],RHC,7,20
159,64,6.0,18.854831164,[ 5  9  0 13  4  1  7  2 11  6 12  3 11  1],RHC,7,20
160,128,4.0,18.944027961999996,[ 5  9  0 13  4  1  7  2 11  6 12  3 11  7],RHC,7,20
161,256,4.0,19.12335379,[ 5  9  0 13  4  1  7  2 11  6 12  3 11  7],RHC,7,20
162,512,4.0,19.479097495,[ 5  9  0 13  4  1  7  2 11  6 12  3 11  7],RHC,7,20
163,1024,4.0,20.195331841999998,[ 5  9  0 13  4  1  7  2 11  6 12  3 11  7],RHC,7,20
164,2048,4.0,21.641040485999998,[ 5  9  0 13  4  1  7  2 11  6 12  3 11  7],RHC,7,20
165,2,26.0,21.676786595,[ 8 10  2  0  0  5 10 13  2 13  3  4  2  9],RHC,8,20
166,4,26.0,21.680885958999998,[ 8 10  2  0  0  5 10 13  2 13  3  4  2  9],RHC,8,20
167,8,18.0,21.690686617,[ 8 12  2  0  0  5 10 13  2  3 11  4  2  9],RHC,8,20
168,16,10.0,21.706106076999998,[ 8 12  7  0 11  5 10 13  2  3 11  4  2  9],RHC,8,20
169,32,8.0,21.731974110999996,[ 8 12  7  0 11  5 10 13  9  3 11  4  2  9],RHC,8,20
170,64,4.0,21.781648975999996,[ 8 12  7  0 11  5 10 13  9  3  1  4  2  9],RHC,8,20
171,128,4.0,21.87710401,[ 8 12  7  0 11  5 10 13  9  3  1  4  2  9],RHC,8,20
172,256,4.0,22.060559656,[ 8 12  7  0 11  5 10 13  9  3  1  4  2  9],RHC,8,20
173,512,4.0,22.437033986999996,[ 8 12  7  0 11  5 10 13  9  3  1  4  2  9],RHC,8,20
174,1024,4.0,23.193523279999997,[ 8 12  7  0 11  5 10 13  9  3  1  4  2  9],RHC,8,20
175,2048,4.0,24.769423745,[ 8 12  7  0 11  5 10 13  9  3  1  4  2  9],RHC,8,20
176,2,24.0,24.806576585,[ 0  5  6  4  7 11 13  2 12  3  7  3  4  7],RHC,9,20
177,4,24.0,24.810860175,[ 0  5  6  4  7 11 13  2 12  3  7  3  4  7],RHC,9,20
178,8,22.0,24.818911589999995,[ 0  5 11  4  7 11 13  2 12  3  7  3  4  7],RHC,9,20
179,16,14.0,24.834883068999996,[ 0  5 11  1  7  6 13  2 12  3  7  3  4 13],RHC,9,20
180,32,8.0,24.862518720999997,[ 0  5 11  1  7  6 13  2 12  3  7 13  4  9],RHC,9,20
181,64,8.0,24.910068993,[ 0  5 11  1  7  6 13  2 12  3  7 13  4  9],RHC,9,20
182,128,8.0,25.007503398999997,[ 0  5 11  1  7  6 13  2 12  3  7 13  4  9],RHC,9,20
183,256,8.0,25.202688243,[ 0  5 11  1  7  6 13  2 12  3  7 13  4  9],RHC,9,20
184,512,4.0,25.595539692,[ 0  5 11  1  6  6 13  2 12  3  7 10  4  9],RHC,9,20
185,1024,4.0,26.383718966,[ 0  5 11  1  6  6 13  2 12  3  7 10  4  9],RHC,9,20
186,2048,4.0,27.966140340999996,[ 0  5 11  1  6  6 13  2 12  3  7 10  4  9],RHC,9,20
187,2,24.0,28.006245978999996,[ 8 11 13 10 12  5  5  8  6  4  7  6  3  3],RHC,10,20
188,4,22.0,28.011653845999998,[ 8 11  0 10 12  5  5  8  6  4  7  6  3  3],RHC,10,20
189,8,22.0,28.019218823,[ 8 11  0 10 12  5  5  8  6  4  7  6  3  3],RHC,10,20
190,16,18.0,28.036817732,[ 8 11  0 10  9  5  5  8 12  4  7  6  3  3],RHC,10,20
191,32,12.0,28.066714487000002,[ 8 11  0  2 10  5  5  8 12  4  7  6 13  3],RHC,10,20
192,64,6.0,28.118139433999996,[ 8 11  0  2 10  5  9  9 12  4  7  7 13  3],RHC,10,20
193,128,4.0,28.222891891999996,[ 8 11  0  2 10  5  9  1 12  4  7  7 13  3],RHC,10,20
194,256,4.0,28.424513791,[ 8 11  0  2 10  5  9  1 12  4  7  7 13  3],RHC,10,20
195,512,4.0,28.833377314999996,[ 8 11  0  2 10  5  9  1 12  4  7  7 13  3],RHC,10,20
196,1024,4.0,29.657481543999996,[ 8 11  0  2 10  5  9  1 12  4  7  7 13  3],RHC,10,20
197,2048,4.0,31.303255646,[ 8 11  0  2 10  5  9  1 12  4  7  7 13  3],RHC,10,20
198,2,30.0,31.337886606,[ 8 10  1  0  3  0  3  9  4  6 12  8  3  5],RHC,11,20
199,4,30.0,31.342097335000002,[ 8 10  1  0  3  0  3  9  4  6 12  8  3  5],RHC,11,20
200,8,30.0,31.35054087,[ 8 10  1  0  3  0  3  9  4  6 12  8  3  5],RHC,11,20
201,16,26.0,31.365594923999996,[ 8 10  1  0  3  0  3  9  4  4 12  8  3  5],RHC,11,20
202,32,20.0,31.394135764,[ 8 10  1  0  3  0  9  9  4  2 12  8  3  5],RHC,11,20
203,64,8.0,31.452784626999996,[ 8 10  1  6  3  0 11 13  4  2 12  8  3  5],RHC,11,20
204,128,6.0,31.561574908999997,[ 8 10  1  6  9  0 11 13  4  2 12  8  3  5],RHC,11,20
205,256,4.0,31.814540167999997,[ 7 10  1  6  9  0 11 13  4  2 12  8  3  5],RHC,11,20
206,512,4.0,32.23561380299999,[ 7 10  1  6  9  0 11 13  4  2 12  8  3  5],RHC,11,20
207,1024,4.0,33.106566619999995,[ 7 10  1  6  9  0 11 13  4  2 12  8  3  5],RHC,11,20
208,2048,4.0,34.82579049899999,[ 7 10  1  6  9  0 11 13  4  2 12  8  3  5],RHC,11,20
209,2,24.0,34.861565049999996,[ 9  6  7  5  3 13  6  3 13 12 10  5  7  0],RHC,12,20
210,4,24.0,34.866045287999995,[ 9  6  7  5  3 13  6  3 13 12 10  5  7  0],RHC,12,20
211,8,24.0,34.873479261,[ 9  6  7  5  3 13  6  3 13 12 10  5  7  0],RHC,12,20
212,16,18.0,34.889072285,[ 9  6  3  5  3 13  6  8 13 12 10  5  7  0],RHC,12,20
213,32,10.0,34.919359779000004,[ 9  5  8  5  3 13  6  4 13 12 10  4  7  0],RHC,12,20
214,64,10.0,34.972456476000005,[ 9  5  8  5  3 13  6  4 13 12 10  4  7  0],RHC,12,20
215,128,4.0,35.087821178,[ 9  5  8  5  3 13 11  4  6 12 10  4  7  0],RHC,12,20
216,256,2.0,35.308517656999996,[ 9  5  8  5  3 13 11  4  6 12 10  1  7  0],RHC,12,20
217,512,2.0,35.775211274,[ 9  5  8  5  3 13 11  4  6 12 10  1  7  0],RHC,12,20
