,Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent
23,256,1657.0,2554.3273557619996,"[19. 19. 19. 18.  3. 16. 18.  0.  2. 18.  8.  1. 16. 18. 14. 19. 18.  0.
  8. 18. 19. 19.  8.  5. 19. 14. 15. 12. 19. 14.  0. 16. 18.  6. 18.]",300,0.25,300,0.25
24,512,1657.0,5330.7197276940005,"[19. 19. 19. 18.  3. 16. 18.  0.  2. 18.  8.  1. 16. 18. 14. 19. 18.  0.
  8. 18. 19. 19.  8.  5. 19. 14. 15. 12. 19. 14.  0. 16. 18.  6. 18.]",300,0.25,300,0.25
25,1024,1657.0,11077.521513653,"[19. 19. 19. 18.  3. 16. 18.  0.  2. 18.  8.  1. 16. 18. 14. 19. 18.  0.
  8. 18. 19. 19.  8.  5. 19. 14. 15. 12. 19. 14.  0. 16. 18.  6. 18.]",300,0.25,300,0.25
26,2048,1657.0,11240.76917233,"[19. 19. 19. 18.  3. 16. 18.  0.  2. 18.  8.  1. 16. 18. 14. 19. 18.  0.
  8. 18. 19. 19.  8.  5. 19. 14. 15. 12. 19. 14.  0. 16. 18.  6. 18.]",300,0.25,300,0.25
27,4096,1657.0,11240.76917233,"[19. 19. 19. 18.  3. 16. 18.  0.  2. 18.  8.  1. 16. 18. 14. 19. 18.  0.
  8. 18. 19. 19.  8.  5. 19. 14. 15. 12. 19. 14.  0. 16. 18.  6. 18.]",300,0.25,300,0.25
28,0,1228.0,0.18277708900131984,"[15 18  7 15 11  7 13 10  5  5 19  6 14 17 10  5  5 19  3 15 12  9 15 19
  5 19 10  9 10  4 15 13  3  8 16]",300,0.5,300,0.5
29,1,1383.0,8.682282330002636,"[ 1. 19. 15. 16. 16. 15.  0.  2. 14. 13. 13. 15. 19.  7. 16. 17. 19. 13.
  5.  5. 19. 15. 11. 15. 11.  5.  7.  1. 18.  8. 14. 15. 14.  4.  9.]",300,0.5,300,0.5
30,2,1415.0,17.151894201000687,"[16.  3. 18. 19. 18.  2.  6.  1. 12. 15. 13.  5. 12. 11. 14. 17. 19. 13.
  4. 10. 16.  7. 11. 14.  4.  5. 17.  1. 12. 17.  6. 17. 14. 12. 18.]",300,0.5,300,0.5
31,4,1512.0,34.443616903001384,"[13. 16. 17. 16. 15.  7. 19. 13. 14. 15.  4.  9. 10.  0. 16. 19. 16. 16.
  2. 10. 15. 13.  2.  3. 16. 12. 12. 12. 19.  9. 12. 19. 11. 19. 18.]",300,0.5,300,0.5
32,8,1512.0,68.05490805299996,"[13. 16. 17. 16. 15.  7. 19. 13. 14. 15.  4.  9. 10.  0. 16. 19. 16. 16.
  2. 10. 15. 13.  2.  3. 16. 12. 12. 12. 19.  9. 12. 19. 11. 19. 18.]",300,0.5,300,0.5
